operation_id	path	visibility	lane	mutation	output	positionals	flags	aliases	legacy_path	removed_successor
yai.runtime.serve	runtime serve	product	runtime_host	long_running	structured	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--workers", "repeatable": false, "required": false, "value_name": "N"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--max-active-per-tenant", "repeatable": false, "required": false, "value_name": "N"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--max-queued-per-tenant", "repeatable": false, "required": false, "value_name": "N"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--max-queued-total", "repeatable": false, "required": false, "value_name": "N"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--startup-dispatch-delay-ms", "repeatable": false, "required": false, "value_name": "N"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--workflow-work-failpoint", "repeatable": false, "required": false, "value_name": "FAILPOINT"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--failpoint", "repeatable": false, "required": false, "value_name": "FAILPOINT"}]	[]	runtime serve	-
yai.runtime.status	runtime status	product	runtime_control	read_only	structured	[]	[]	[]	runtime status	-
yai.runtime.queue	runtime queue	product	runtime_control	read_only	structured	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--all", "repeatable": false, "required": false, "value_name": null}]	[]	runtime queue	-
yai.runtime.stop	runtime stop	product	runtime_control	mutating	structured	[]	[]	[]	runtime stop	-
yai.security.bootstrap_local	security bootstrap-local	advanced	local_domain	mutating	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--tenant", "repeatable": false, "required": true, "value_name": "TENANT"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--organization", "repeatable": false, "required": true, "value_name": "ORGANIZATION"}]	[]	security bootstrap-local	-
yai.case.enter	case enter	advanced	local_interactive	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--case", "repeatable": false, "required": true, "value_name": "CASE"}, {"aliases": ["--subject"], "choices": [], "legacy_name": "--subject", "name": "--participant", "repeatable": false, "required": true, "value_name": "PARTICIPANT"}, {"aliases": [], "choices": ["model", "operator", "audit", "debug", "agent"], "legacy_name": null, "name": "--consumer", "repeatable": false, "required": false, "value_name": "VALUE"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--kind", "repeatable": false, "required": false, "value_name": "KIND"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--shell", "repeatable": false, "required": false, "value_name": "SHELL"}]	[]	case enter	-
yai.runtime.submit	runtime submit	advanced	runtime_control	mutating	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--tenant", "repeatable": false, "required": true, "value_name": "TENANT"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--case", "repeatable": false, "required": true, "value_name": "CASE"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--subject", "repeatable": false, "required": true, "value_name": "PARTICIPANT"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--attachment", "repeatable": false, "required": true, "value_name": "RESOURCE"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--prompt", "repeatable": false, "required": true, "value_name": "TASK"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--idempotency-key", "repeatable": false, "required": false, "value_name": "KEY"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--max-invocations", "repeatable": false, "required": false, "value_name": "N"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--max-operations", "repeatable": false, "required": false, "value_name": "N"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--max-semantic-units", "repeatable": false, "required": false, "value_name": "N"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--max-resident-items", "repeatable": false, "required": false, "value_name": "N"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--max-estimated-input-units", "repeatable": false, "required": false, "value_name": "N"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--max-provider-retries", "repeatable": false, "required": false, "value_name": "N"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--max-runtime-ms", "repeatable": false, "required": false, "value_name": "N"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--stop-on-deny", "repeatable": false, "required": false, "value_name": null}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--continue-after-malformed", "repeatable": false, "required": false, "value_name": null}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--failpoint", "repeatable": false, "required": false, "value_name": "FAILPOINT"}]	[]	runtime submit	-
yai.effect.filesystem_write	effect filesystem-write	advanced	local_domain	mutating	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--case", "repeatable": false, "required": true, "value_name": "CASE"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--subject", "repeatable": false, "required": true, "value_name": "PARTICIPANT"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--attachment", "repeatable": false, "required": true, "value_name": "RESOURCE"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--prompt", "repeatable": false, "required": true, "value_name": "TASK"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--base-url", "repeatable": false, "required": true, "value_name": "URL"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--model", "repeatable": false, "required": true, "value_name": "MODEL"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--provider-id", "repeatable": false, "required": false, "value_name": "PROVIDER"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--api-key-env", "repeatable": false, "required": false, "value_name": "ENV"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--provider-runtime-id", "repeatable": false, "required": false, "value_name": "ID"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--continuation-ref", "repeatable": false, "required": false, "value_name": "REF"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--continuation-capable", "repeatable": false, "required": false, "value_name": null}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--second-base-url", "repeatable": false, "required": false, "value_name": "URL"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--second-provider-id", "repeatable": false, "required": false, "value_name": "PROVIDER"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--second-model", "repeatable": false, "required": false, "value_name": "MODEL"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--inject-derived-failure", "repeatable": false, "required": false, "value_name": null}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--failpoint", "repeatable": false, "required": false, "value_name": "FAILPOINT"}]	[]	effect filesystem-write	-
yai.effect.process_signal	effect process-signal	advanced	local_domain	mutating	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--case", "repeatable": false, "required": true, "value_name": "CASE"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--subject", "repeatable": false, "required": true, "value_name": "PARTICIPANT"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--attachment", "repeatable": false, "required": true, "value_name": "RESOURCE"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--prompt", "repeatable": false, "required": true, "value_name": "TASK"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--base-url", "repeatable": false, "required": true, "value_name": "URL"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--model", "repeatable": false, "required": true, "value_name": "MODEL"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--provider-id", "repeatable": false, "required": false, "value_name": "PROVIDER"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--api-key-env", "repeatable": false, "required": false, "value_name": "ENV"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--provider-runtime-id", "repeatable": false, "required": false, "value_name": "ID"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--continuation-ref", "repeatable": false, "required": false, "value_name": "REF"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--continuation-capable", "repeatable": false, "required": false, "value_name": null}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--inject-derived-failure", "repeatable": false, "required": false, "value_name": null}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--failpoint", "repeatable": false, "required": false, "value_name": "FAILPOINT"}]	[]	effect process-signal	-
yai.effect.reconcile	effect reconcile	advanced	local_domain	mutating	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--case", "repeatable": false, "required": true, "value_name": "CASE"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--effect", "repeatable": false, "required": false, "value_name": "EFFECT"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--retry", "repeatable": false, "required": false, "value_name": null}]	[]	effect reconcile	-
